index,thread,time,run_index,lock
0,1,0.002,0,ttas
1,1,0.002,1,ttas
2,1,0.002,2,ttas
3,1,0.002,3,ttas
4,1,0.002,4,ttas
5,2,0.004,0,ttas
6,2,0.004,1,ttas
7,2,0.003,2,ttas
8,2,0.004,3,ttas
9,2,0.004,4,ttas
10,4,0.012,0,ttas
11,4,0.012,1,ttas
12,4,0.012,2,ttas
13,4,0.012,3,ttas
14,4,0.012,4,ttas
15,8,0.04,0,ttas
16,8,0.044,1,ttas
17,8,0.037,2,ttas
18,8,0.041,3,ttas
19,8,0.043,4,ttas
20,16,0.153,0,ttas
21,16,0.226,1,ttas
22,16,0.173,2,ttas
23,16,0.183,3,ttas
24,16,0.155,4,ttas
25,32,0.51,0,ttas
26,32,0.636,1,ttas
27,32,0.464,2,ttas
28,32,0.621,3,ttas
29,32,0.523,4,ttas
30,1,0.002,0,standard
31,1,0.002,1,standard
32,1,0.002,2,standard
33,1,0.002,3,standard
34,1,0.002,4,standard
35,2,0.005,0,standard
36,2,0.005,1,standard
37,2,0.004,2,standard
38,2,0.005,3,standard
39,2,0.004,4,standard
40,4,0.006,0,standard
41,4,0.005,1,standard
42,4,0.006,2,standard
43,4,0.006,3,standard
44,4,0.005,4,standard
45,8,0.008,0,standard
46,8,0.008,1,standard
47,8,0.008,2,standard
48,8,0.009,3,standard
49,8,0.008,4,standard
50,16,0.015,0,standard
51,16,0.015,1,standard
52,16,0.017,2,standard
53,16,0.017,3,standard
54,16,0.016,4,standard
55,32,0.037,0,standard
56,32,0.036,1,standard
57,32,0.041,2,standard
58,32,0.04,3,standard
59,32,0.037,4,standard
60,1,0.002,0,tas
61,1,0.002,1,tas
62,1,0.002,2,tas
63,1,0.002,3,tas
64,1,0.002,4,tas
65,2,0.003,0,tas
66,2,0.003,1,tas
67,2,0.003,2,tas
68,2,0.003,3,tas
69,2,0.003,4,tas
70,4,0.01,0,tas
71,4,0.01,1,tas
72,4,0.009,2,tas
73,4,0.01,3,tas
74,4,0.009,4,tas
75,8,0.039,0,tas
76,8,0.041,1,tas
77,8,0.04,2,tas
78,8,0.038,3,tas
79,8,0.04,4,tas
80,16,0.178,0,tas
81,16,0.258,1,tas
82,16,0.239,2,tas
83,16,0.194,3,tas
84,16,0.209,4,tas
85,32,0.713,0,tas
86,32,0.633,1,tas
87,32,0.837,2,tas
88,32,1.07,3,tas
89,32,0.971,4,tas
90,1,0.001,0,bttas
91,1,0.002,1,bttas
92,1,0.002,2,bttas
93,1,0.002,3,bttas
94,1,0.002,4,bttas
95,2,0.002,0,bttas
96,2,0.002,1,bttas
97,2,0.003,2,bttas
98,2,0.002,3,bttas
99,2,0.002,4,bttas
100,4,0.004,0,bttas
101,4,0.003,1,bttas
102,4,0.003,2,bttas
103,4,0.003,3,bttas
104,4,0.003,4,bttas
105,8,0.005,0,bttas
106,8,0.007,1,bttas
107,8,0.005,2,bttas
108,8,0.006,3,bttas
109,8,0.005,4,bttas
110,16,0.013,0,bttas
111,16,0.011,1,bttas
112,16,0.013,2,bttas
113,16,0.009,3,bttas
114,16,0.014,4,bttas
115,32,0.033,0,bttas
116,32,0.041,1,bttas
117,32,0.049,2,bttas
118,32,0.047,3,bttas
119,32,0.041,4,bttas
